##& xmin & xmax & central value & dy & muR= 0.500 muF= 0.500 & muR= 0.500 muF= 1.000 & muR= 0.500 muF= 2.000 & muR= 1.000 muF= 0.500 & muR= 1.000 muF= 1.000 & muR= 1.000 muF= 2.000 & muR= 2.000 muF= 0.500 & muR= 2.000 muF= 1.000 & muR= 2.000 muF= 2.000

<histogram> 100 "pt1 [GeV] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +1.9000000e+02   +2.0000000e+02   +1.2123400e-12   +4.6594201e-14  +2.1020900e-12   +5.6769000e-13   +1.4527300e-12   +1.4674200e-12   +5.7651000e-13   +1.0145000e-12   +1.0627300e-12   +8.7811000e-13   +7.3494000e-13
  +2.0000000e+02   +2.1000000e+02   +1.0171400e-12   +4.2678873e-14  +1.7529700e-12   +4.9458000e-13   +1.2194500e-12   +1.2267100e-12   +4.9570000e-13   +8.5363000e-13   +8.8983000e-13   +7.3788000e-13   +6.1937000e-13
  +2.1000000e+02   +2.2000000e+02   +8.9179000e-13   +3.9962065e-14  +1.5362700e-12   +4.3279000e-13   +1.0664200e-12   +1.0769600e-12   +4.2946000e-13   +7.4802000e-13   +7.8171000e-13   +6.4743000e-13   +5.4317000e-13
  +2.2000000e+02   +2.3000000e+02   +8.0405000e-13   +3.7945509e-14  +1.3853300e-12   +3.8924000e-13   +9.6079000e-13   +9.7144000e-13   +3.8378600e-13   +6.7407000e-13   +7.0530000e-13   +5.8387000e-13   +4.8960000e-13
  +2.3000000e+02   +2.4000000e+02   +6.6257000e-13   +3.4446077e-14  +1.1458000e-12   +3.1772500e-13   +7.8678000e-13   +8.0485000e-13   +3.1326400e-13   +5.5284000e-13   +5.8484000e-13   +4.8152000e-13   +4.0184700e-13
  +2.4000000e+02   +2.5000000e+02   +5.7842000e-13   +3.2183870e-14  +1.0029100e-12   +2.7504100e-13   +6.8472000e-13   +7.0478000e-13   +2.7205400e-13   +4.8139000e-13   +5.1231000e-13   +4.2051900e-13   +3.5005100e-13
  +2.5000000e+02   +2.6000000e+02   +5.6409000e-13   +3.1782573e-14  +9.7781000e-13   +2.6585200e-13   +6.6800000e-13   +6.8725000e-13   +2.6168100e-13   +4.6956000e-13   +4.9946000e-13   +4.0998200e-13   +3.4131700e-13
  +2.6000000e+02   +2.7000000e+02   +4.7993000e-13   +2.9315734e-14  +8.3239000e-13   +2.2883700e-13   +5.6583000e-13   +5.8622000e-13   +2.2530800e-13   +3.9868000e-13   +4.2659900e-13   +3.4930400e-13   +2.9023500e-13
  +2.7000000e+02   +2.8000000e+02   +4.6560000e-13   +2.8874944e-14  +8.0627000e-13   +2.2360400e-13   +5.4907000e-13   +5.6829000e-13   +2.1999400e-13   +3.8718500e-13   +4.1370000e-13   +3.3900800e-13   +2.8197000e-13
  +2.8000000e+02   +2.9000000e+02   +4.3157600e-13   +2.7799822e-14  +7.5039000e-13   +2.0551800e-13   +5.0590000e-13   +5.2950000e-13   +1.9839800e-13   +3.5713300e-13   +3.8564900e-13   +3.1437400e-13   +2.6019000e-13
  +2.9000000e+02   +3.0000000e+02   +3.4561600e-13   +2.4878026e-14  +5.9831000e-13   +1.6941700e-13   +4.0516000e-13   +4.2303100e-13   +1.5977400e-13   +2.8651300e-13   +3.0851200e-13   +2.5207500e-13   +2.0899100e-13
  +3.0000000e+02   +3.1000000e+02   +3.5994100e-13   +2.5388184e-14  +6.2442000e-13   +1.7543500e-13   +4.2154800e-13   +4.4118000e-13   +1.6909100e-13   +2.9795200e-13   +3.2176200e-13   +2.6255200e-13   +2.1737500e-13
  +3.1000000e+02   +3.2000000e+02   +3.0621600e-13   +2.3417157e-14  +5.2784000e-13   +1.5259800e-13   +3.5938200e-13   +3.7377200e-13   +1.4744500e-13   +2.5460000e-13   +2.7286700e-13   +2.2359200e-13   +1.8594000e-13
